DATAFLOW,LAST UPDATE,freq,unit,sex,isced11,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,CH:Switzerland,2014,32.9,b
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,CH:Switzerland,2015,31.7,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,CH:Switzerland,2016,30.9,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,CH:Switzerland,2017,30.1,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,CH:Switzerland,2018,30.0,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,CH:Switzerland,2019,29.2,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,CH:Switzerland,2020,29.2,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,CH:Switzerland,2021,28.6,b
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,CH:Switzerland,2022,28.1,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,CH:Switzerland,2023,28.9,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,CY:Cyprus,2014,27.5,b
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,CY:Cyprus,2015,25.9,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,CY:Cyprus,2016,25.4,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,CY:Cyprus,2017,26.3,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,CY:Cyprus,2018,25.7,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,CY:Cyprus,2019,25.4,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,CY:Cyprus,2020,25.8,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,CY:Cyprus,2021,26.5,b
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,CY:Cyprus,2022,24.2,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,CY:Cyprus,2023,24.5,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,CZ:Czechia,2014,27.6,b
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,CZ:Czechia,2015,28.8,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,CZ:Czechia,2016,30.5,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,CZ:Czechia,2017,30.6,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,CZ:Czechia,2018,31.4,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,CZ:Czechia,2019,32.1,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,CZ:Czechia,2020,34.1,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,CZ:Czechia,2021,33.9,b
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,CZ:Czechia,2022,34.8,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,CZ:Czechia,2023,36.9,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,DE:Germany,2014,37.3,b
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,DE:Germany,2015,37.6,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,DE:Germany,2016,36.6,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,DE:Germany,2017,36.6,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,DE:Germany,2018,36.5,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,DE:Germany,2019,36.8,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,DE:Germany,2020,34.6,b
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,DE:Germany,2021,37.7,b
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,DE:Germany,2022,41.0,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,DE:Germany,2023,39.8,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,DK:Denmark,2014,43.8,b
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,DK:Denmark,2015,42.3,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,DK:Denmark,2016,42.1,b
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,DK:Denmark,2017,40.2,b
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,DK:Denmark,2018,40.2,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,DK:Denmark,2019,40.6,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,DK:Denmark,2020,39.6,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,DK:Denmark,2021,39.9,b
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,DK:Denmark,2022,40.0,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,DK:Denmark,2023,41.1,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,EA20:Euro area – 20 countries (from 2023),2014,34.9,b
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,EA20:Euro area – 20 countries (from 2023),2015,34.7,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,EA20:Euro area – 20 countries (from 2023),2016,34.3,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,EA20:Euro area – 20 countries (from 2023),2017,34.1,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,EA20:Euro area – 20 countries (from 2023),2018,33.9,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,EA20:Euro area – 20 countries (from 2023),2019,33.4,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,EA20:Euro area – 20 countries (from 2023),2020,32.4,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,EA20:Euro area – 20 countries (from 2023),2021,33.4,b
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,EA20:Euro area – 20 countries (from 2023),2022,34.1,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,EA20:Euro area – 20 countries (from 2023),2023,34.0,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,EE:Estonia,2014,28.0,b
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,EE:Estonia,2015,32.1,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,EE:Estonia,2016,30.5,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,EE:Estonia,2017,30.8,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,EE:Estonia,2018,32.0,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,EE:Estonia,2019,33.4,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,EE:Estonia,2020,33.6,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,EE:Estonia,2021,34.8,b
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,EE:Estonia,2022,36.2,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,EE:Estonia,2023,37.1,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,EL:Greece,2014,28.9,b
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,EL:Greece,2015,30.4,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,EL:Greece,2016,29.8,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,EL:Greece,2017,29.6,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,EL:Greece,2018,29.5,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,EL:Greece,2019,29.1,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,EL:Greece,2020,29.5,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,EL:Greece,2021,27.9,b
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,EL:Greece,2022,28.7,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,EL:Greece,2023,28.0,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,ES:Spain,2014,40.2,b
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,ES:Spain,2015,38.0,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,ES:Spain,2016,37.5,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,ES:Spain,2017,37.3,
